--------- beginning of main
07-13 16:05:54.190  1919 10068 E ZunoPlugin:    -> FAILED: com.fasterxml.jackson.module.kotlin.MissingKotlinParameterException: Instantiation of [simple type, class com.PublicSportsIPTV.Match] value failed for JSON property teams due to missing (therefore NULL) value for creator parameter teams which is a non-nullable type
07-13 16:05:54.190  1919 10068 E ZunoPlugin:  at [Source: (StringReader); line: 109, column: 5] (through reference chain: com.PublicSportsIPTV.Root["matches"]->java.util.ArrayList[0]->com.PublicSportsIPTV.Match["teams"])
07-13 16:05:54.190  1919 10068 E ZunoPlugin: com.fasterxml.jackson.module.kotlin.MissingKotlinParameterException: Instantiation of [simple type, class com.PublicSportsIPTV.Match] value failed for JSON property teams due to missing (therefore NULL) value for creator parameter teams which is a non-nullable type
07-13 16:05:54.190  1919 10068 E ZunoPlugin:  at [Source: (StringReader); line: 109, column: 5] (through reference chain: com.PublicSportsIPTV.Root["matches"]->java.util.ArrayList[0]->com.PublicSportsIPTV.Match["teams"])
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.module.kotlin.KotlinValueInstantiator.createFromObjectWith(KotlinValueInstantiator.kt:121)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.impl.PropertyBasedCreator.build(PropertyBasedCreator.java:202)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer._deserializeUsingPropertyBased(BeanDeserializer.java:518)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializerBase.deserializeFromObjectUsingNonDefault(BeanDeserializerBase.java:1405)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserializeFromObject(BeanDeserializer.java:351)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:184)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer._deserializeFromArray(CollectionDeserializer.java:355)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:244)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:28)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.SettableBeanProperty.deserialize(SettableBeanProperty.java:542)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer._deserializeWithErrorWrapping(BeanDeserializer.java:563)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer._deserializeUsingPropertyBased(BeanDeserializer.java:438)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializerBase.deserializeFromObjectUsingNonDefault(BeanDeserializerBase.java:1405)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserializeFromObject(BeanDeserializer.java:351)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:184)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.deser.DefaultDeserializationContext.readRootValue(DefaultDeserializationContext.java:322)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:4674)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3629)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3597)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.lagradost.cloudstream3.MainActivityKt$app$1.parse(MainActivity.kt:19)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.PublicSportsIPTV.PublicSportsIPTV.getMainPage(PublicSportsIPTV.kt:103)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.PublicSportsIPTV.PublicSportsIPTV$getMainPage$1.invokeSuspend(PublicSportsIPTV.kt:16)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:34)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:100)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.EventLoopImplBase.processNextEvent(EventLoop.common.kt:263)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BlockingCoroutine.joinBlocking(Builders.kt:94)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt__BuildersKt.runBlocking(Builders.kt:70)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt.runBlocking(dex-id-dfa84723ff9e41d58093de8b90afcd898163cce0:1)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt__BuildersKt.runBlocking$default(Builders.kt:48)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at kotlinx.coroutines.BuildersKt.runBlocking$default(dex-id-dfa84723ff9e41d58093de8b90afcd898163cce0:1)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.anonymous.zunornandroid.cloudstream.CloudStreamPluginHost.loadPluginsFromAssets$lambda$1(CloudStreamPluginHost.kt:319)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.anonymous.zunornandroid.cloudstream.CloudStreamPluginHost.$r8$lambda$XdGHvdgpsegZqhRLCOZsvgX1p5o(CloudStreamPluginHost.kt:0)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at com.anonymous.zunornandroid.cloudstream.CloudStreamPluginHost$$ExternalSyntheticLambda0.run(D8$$SyntheticClass:0)
07-13 16:05:54.190  1919 10068 E ZunoPlugin: 	at java.lang.Thread.run(Thread.java:1572)
07-13 16:05:54.190  1919 10068 I ZunoPlugin: Diagnosing provider: Sports IPTV
07-13 16:05:54.190  1919 10068 I ZunoPlugin:  - mainUrl: https://raw.githubusercontent.com/dtankdempse/streamed-su-sports/refs/heads/main/vlc_playlist.m3u8
